sps/test/Na22_Cs137/60s/50cm/202275_171652_Na-22_Cs-137_60s_50cm.sps                                 5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_171322_Na-22_Cs-137_60s_50cm.sps                                 5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_171542_Na-22_Cs-137_60s_50cm.sps                                 5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_172612_Na-22_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.882, 'Cobalt-60 ': 0.519, 'Sodium-22 ': 0.035, 'Americium-241 ': 0.001}
sps/test/Na22_Cs137/60s/50cm/202275_172717_Na-22_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.901, 'Cobalt-60 ': 0.473, 'Sodium-22 ': 0.058, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_172822_Na-22_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.893, 'Cobalt-60 ': 0.485, 'Sodium-22 ': 0.061, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_172927_Na-22_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.858, 'Cobalt-60 ': 0.501, 'Sodium-22 ': 0.06, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/60s/50cm/202275_171432_Na-22_Cs-137_60s_50cm.sps                                 5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/5s/15cm/2022628_173816_Am-241_Cs-137_5s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.002, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/5s/15cm/2022628_173822_Am-241_Cs-137_5s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.002, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/5s/15cm/2022628_173828_Am-241_Cs-137_5s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.002, 'Cobalt-60 ': 0.002, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/5s/15cm/2022628_173834_Am-241_Cs-137_5s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.003, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/5s/50cm/2022628_17375_Am-241_Cs-137_5s_50cm.sps                                 5  bps mllgr          {'Caesium-137 ': 0.962, 'Americium-241 ': 0.083, 'Sodium-22 ': 0.016, 'Cobalt-60 ': 0.011}
sps/test/Am241_Cs137/5s/50cm/2022628_173659_Am-241_Cs-137_5s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.927, 'Americium-241 ': 0.087, 'Cobalt-60 ': 0.045, 'Sodium-22 ': 0.027}
sps/test/Am241_Cs137/5s/50cm/2022628_173710_Am-241_Cs-137_5s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.806, 'Americium-241 ': 0.156, 'Sodium-22 ': 0.073, 'Cobalt-60 ': 0.006}
sps/test/Am241_Cs137/15s/15cm/2022629_1748_Am-241_Cs137_15s_15cm.sps                                 5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.002, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/15s/15cm/2022629_17459_Am-241_Cs137_15s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.002, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/15s/15cm/2022629_17425_Am-241_Cs137_15s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.002, 'Cobalt-60 ': 0.002, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/15s/15cm/2022629_17442_Am-241_Cs137_15s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.003, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/15s/50cm/2022629_17133_Am-241_Cs137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.761, 'Americium-241 ': 0.419, 'Sodium-22 ': 0.085, 'Cobalt-60 ': 0.027}
sps/test/Am241_Cs137/15s/50cm/2022629_17222_Am-241_Cs137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.897, 'Americium-241 ': 0.085, 'Sodium-22 ': 0.036, 'Cobalt-60 ': 0.026}
sps/test/Am241_Cs137/15s/50cm/2022629_1726_Am-241_Cs137_15s_50cm.sps                                 5  bps mllgr          {'Caesium-137 ': 0.806, 'Americium-241 ': 0.199, 'Sodium-22 ': 0.048, 'Cobalt-60 ': 0.036}
sps/test/Am241_Cs137/15s/50cm/2022629_17150_Am-241_Cs137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.916, 'Americium-241 ': 0.095, 'Cobalt-60 ': 0.042, 'Sodium-22 ': 0.025}
sps/test/Am241_Cs137/60s/15cm/202275_18121_Am-241_Cs-137_60s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.002, 'Cobalt-60 ': 0.002, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/60s/15cm/202275_181054_Am-241_Cs-137_60s_15cm.sps                               5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.003, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/60s/15cm/202275_18138_Am-241_Cs-137_60s_15cm.sps                                5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.002, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Am241_Cs137/60s/15cm/202275_181415_Am-241_Cs-137_60s_15cm.sps                               5  bps mllgr          {'Caesium-137 ': 1.0, 'Sodium-22 ': 0.002, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
