DIST - ALL SIGS
data/test/time/sig/5s/202244_15153_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_1512_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145932_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15136_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145835_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15216_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15034_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145937_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15051_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15119_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145824_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15142_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145841_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15045_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_1518_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15159_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15238_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15227_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15233_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_14593_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_145949_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/5s/202244_15011_Sig_Cs137_5s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145219_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145146_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14520_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145212_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145233_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145137_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145152_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145133_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145156_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145149_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145216_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145228_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145138_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145142_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14521_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145158_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145147_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145226_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145153_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145213_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145217_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145229_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145148_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145157_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145132_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145143_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145222_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145139_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14525_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145135_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145231_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145210_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14522_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145144_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145225_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145221_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14526_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145211_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145134_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145230_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145151_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_14528_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/time/sig/1s/202244_145224_Sig_Cs137_1s.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
